id_point;nom;type;altitude;latitude;longitude;état;nombre de place
1095;Mönchsjochhütte;refuge gardé;3657;46.55482;8.00574;;125
2887;Cabane du Demècre;refuge gardé;2361;46.17412;7.08215;;25
5661;Berghotel Schwarenbach;refuge gardé;2060;46.4320303638013;7.6250159740448;;154
2915;Cabane du Fénestral;refuge gardé;2440;46.18896;7.10054;;45
2885;Cabane Rambert;refuge gardé;2580;46.2302;7.1342;;44
1029;Rottalhütte;refuge gardé;2755;46.52613;7.94471;;45
2901;Cabane de Sorniot ou Sorgno;refuge gardé;2064;46.16931;7.09488;;49
3512;La Tièche;refuge gardé;1987;46.35006;7.53643;;33
4312;Geltenhütte;refuge gardé;2002;46.36957;7.3391;;89
4137;Baltschiederklause;refuge gardé;2783;46.395;7.88975;;76
2923;La Tourche;refuge gardé;2198;46.21444;7.06193;;54
2392;Refuge de La Barma;refuge gardé;2458;46.06142;7.38605;;50
2467;Cabane d'Arpitettaz;refuge gardé;2786;46.10084;7.6793;;32
2268;Weisshornhütte;refuge gardé;2932;46.08595;7.74354;;30
1571;Cabane de Prafleuri;refuge gardé;2662;46.07497;7.37881;;59
2352;Cabane Bordier;refuge gardé;2886;46.14462;7.84989;;44
2238;Cabane du Mountet;refuge gardé;2886;46.06;7.65351;;115
1475;Cabane des Vignettes;refuge gardé;3158;45.98983;7.47567;;120
2595;Refuge CAI Saronno;refuge gardé;1827;45.96651;7.92478;;24
2389;Refuge de l'Oriondé (Duca degli Abruzzi);refuge gardé;2802;45.95907;7.64384;;20
2269;Täschhütte;refuge gardé;2701;46.05154;7.82997;;80
2330;Refuge Guide d'Ayas (Lambronecca);refuge gardé;3400;45.92056;7.76704;;80
2433;Britannia Hütte;refuge gardé;3030;46.06007;7.93507;;134
3843;Refuge Frassati;refuge gardé;2550;45.84108;7.09671;;60
2239;Schönbielhütte;refuge gardé;2694;46.002;7.629;;80
1568;Cabane des Dix;refuge gardé;2928;46.011;7.4176;;140
2326;Turtmannhütte (Tourtemagne);refuge gardé;2519;46.16;7.6995;;72
2340;Refuge Letey (Champillon);refuge gardé;2465;45.84992;7.2692;;30
2460;Cabane de la Tsa;refuge gardé;2607;46.03037;7.50385;;60
2463;Cabane de Balavaud;refuge gardé;2042;46.15405;7.28124;;40
1708;Refuge de Crête Sèche;refuge gardé;2400;45.8822;7.3989;;80
2307;Cabane des Aiguilles Rouges;refuge gardé;2810;46.0564;7.4575;;70
2381;Weissmieshütten;refuge gardé;2726;46.14385;7.97785;;150
2432;Monte Rosa Hütte (Cabane Bétemps);refuge gardé;2883;45.95698;7.81459;;120
1572;Almagellerhütte;refuge gardé;2894;46.10762;8.00776;;120
2336;Refuge de la Testa Grigia (Guide del Cervino);refuge gardé;3480;45.93415;7.70768;;40
1595;Refuge du Col Collon (Nacamuli);refuge gardé;2818;45.94844;7.50049;;60
3682;Refuge du Plan du Jeu;refuge gardé;2073;45.90255;7.20555;;22
2335;Refuge du Théodule (Teodulo - Theodulhütte);refuge gardé;3317;45.94407;7.70852;;60
1947;Cabane de Moiry;refuge gardé;2825;46.0907;7.59549;;96
